,chr,start,end,WestEurasia-SouthAsia,WestEurasia-Africa,WestEurasia-CentralAsiaSiberia,WestEurasia-Oceania,WestEurasia-America,WestEurasia-EastAsia,SouthAsia-Africa,SouthAsia-CentralAsiaSiberia,SouthAsia-Oceania,SouthAsia-America,SouthAsia-EastAsia,Africa-CentralAsiaSiberia,Africa-Oceania,Africa-America,Africa-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-America,CentralAsiaSiberia-EastAsia,Oceania-America,Oceania-EastAsia,America-EastAsia,i
3344,18,64958629,64968579,0.03531,0.05493,0.07336,0.34005,0.05195,0.2143,0.01438,0.02364,0.20965,0.01861,0.09883,0.01612,0.1769,0.01515,0.07763,0.1503,0.02242,0.05451,0.1791,0.03963,0.0689,3344.0
3385,18,75266770,75269142,0.01233,0.17608,0.03912,0.13829,0.07481,0.08064,0.14624,0.07805,0.13029,0.06785,0.12955,0.3461,0.01471,0.0357,0.43649,0.34221,0.2676,0.02297,0.04155,0.40412,0.32499,3385.0
3411,19,1948086,1952247,0.02649,0.04213,0.19035,0.01105,0.04962,0.05,0.01475,0.12107,0.04095,0.02338,0.01735,0.08869,0.05311,0.01609,0.01169,0.21649,0.08076,0.07367,0.08303,0.05793,0.01475,3411.0
3416,19,2907479,2918532,0.01665,0.1424,0.03301,0.05436,0.0222,0.03581,0.09414,0.08787,0.03638,0.05971,0.0184,0.21687,0.03507,0.17328,0.05437,0.17396,0.02258,0.10167,0.12915,0.01747,0.0747,3416.0
3440,19,9222533,9225816,0.00982,0.01456,0.03246,0.15345,0.0419,0.01198,0.01426,0.05631,0.15668,0.07367,0.02082,0.07085,0.12352,0.08699,0.03118,0.31745,0.02425,0.02674,0.34534,0.22188,0.03916,3440.0
3444,19,12035855,12058011,0.01074,0.27698,0.03159,0.21777,0.02905,0.0121,0.27396,0.03646,0.25493,0.0352,0.01209,0.29656,0.01979,0.27155,0.29534,0.31731,0.0,0.03,0.2982,0.27069,0.02898,3444.0
3449,19,12694360,12707835,0.17667,0.19282,0.17693,0.01054,0.05625,0.35926,0.01264,0.01515,0.15685,0.05082,0.05155,0.01476,0.162,0.05584,0.04079,0.18441,0.06128,0.05563,0.07511,0.30953,0.1568,3449.0
3450,19,12752471,12754235,0.01231,0.05713,0.01405,0.02318,0.06861,0.00999,0.09839,0.03089,0.04778,0.05378,0.01217,0.06065,0.04167,0.24592,0.09085,0.02481,0.12154,0.02552,0.15661,0.04104,0.06128,3450.0
3462,19,20589912,20595686,0.01722,0.0101,0.01581,0.01031,0.20526,0.02372,0.02919,0.01523,0.02195,0.31003,0.05488,0.02789,0.01698,0.19747,0.01782,0.02453,0.31604,0.04993,0.25186,0.02909,0.13665,3462.0
3478,19,23125205,23144016,0.02098,0.30384,0.02041,0.06672,0.08123,0.01917,0.33744,0.01518,0.13176,0.07429,0.01238,0.29977,0.10958,0.36657,0.3633,0.12547,0.07402,0.01454,0.24296,0.14462,0.13622,3478.0
3481,19,23464394,23471404,0.02267,0.02454,0.07129,0.16895,0.02028,0.27487,0.07395,0.04071,0.14748,0.01642,0.23833,0.16648,0.32,0.06813,0.44856,0.08889,0.04976,0.16412,0.18811,0.04167,0.28647,3481.0
3501,19,35660701,35669953,0.00892,0.0224,0.18357,0.02763,0.0139,0.16947,0.02771,0.19883,0.03827,0.02033,0.15939,0.28831,0.08555,0.01871,0.2261,0.09737,0.21878,0.01378,0.06219,0.07292,0.15508,3501.0
3502,19,35846977,35864876,0.00885,0.06684,0.08764,0.05535,0.01776,0.02226,0.08267,0.10331,0.07784,0.02565,0.02568,0.30972,0.0151,0.15057,0.13659,0.28621,0.06009,0.04289,0.1509,0.11627,0.01514,3502.0
3528,19,45170460,45192699,0.02202,0.01653,0.13365,0.01368,0.01265,0.01049,0.01319,0.23762,0.05345,0.02158,0.03963,0.21656,0.04071,0.01655,0.03077,0.10564,0.17503,0.11378,0.03661,0.01461,0.02351,3528.0
3540,19,48404969,48465292,0.01363,0.19959,0.0253,0.01173,0.02757,0.00957,0.14902,0.05685,0.01656,0.02156,0.01375,0.24022,0.14498,0.10732,0.19475,0.0563,0.12538,0.05488,0.03338,0.01447,0.03305,3540.0
3555,19,52133352,52152312,0.00964,0.01362,0.07302,0.01117,0.01379,0.27329,0.01384,0.06995,0.0159,0.02475,0.25297,0.05228,0.01608,0.03224,0.22205,0.07682,0.12641,0.0794,0.03367,0.25657,0.32887,3555.0
3560,19,53316310,53320924,0.04124,0.16095,0.01314,0.01597,0.17711,0.02696,0.05741,0.06739,0.07421,0.08463,0.01365,0.18156,0.18569,0.01903,0.07591,0.02031,0.24665,0.04651,0.25545,0.05221,0.10106,3560.0
3564,19,54554794,54561757,0.03231,0.0377,0.0601,0.07959,0.01109,0.04131,0.12305,0.16958,0.03576,0.03125,0.12968,0.02287,0.21353,0.05771,0.01122,0.28365,0.11154,0.02066,0.08892,0.22062,0.06131,3564.0
3599,2,3735456,3736559,0.04126,0.02502,0.01659,0.27984,0.03214,0.13399,0.02273,0.03704,0.4211,0.0,0.21959,0.01614,0.38696,0.02273,0.19737,0.33184,0.03704,0.14947,0.36509,0.05616,0.17047,3599.0
3612,2,9922487,9927478,0.01494,0.16531,0.06182,0.05796,0.05523,0.06002,0.20757,0.05823,0.05608,0.05453,0.04206,0.29554,0.28123,0.27059,0.32454,0.0,0.0,0.02174,0.0,0.02174,0.02174,3612.0
3666,2,33221706,33227491,0.01408,0.06114,0.01291,0.09798,0.01662,0.20076,0.03783,0.03304,0.16932,0.01666,0.2965,0.09646,0.27661,0.03371,0.43133,0.11054,0.04387,0.21475,0.20189,0.02759,0.33042,3666.0
3667,2,33764749,33769039,0.00923,0.07089,0.01112,0.0703,0.01154,0.13604,0.07699,0.01551,0.09138,0.01971,0.16711,0.06803,0.01803,0.11673,0.04674,0.09099,0.02633,0.16219,0.15194,0.04167,0.251,3667.0
3669,2,34690390,34736880,0.17219,0.27683,0.15671,0.24621,0.05083,0.37343,0.03572,0.01529,0.04899,0.05517,0.09482,0.03297,0.01586,0.12648,0.02812,0.05027,0.06373,0.08937,0.16095,0.02412,0.23266,3669.0
3677,2,36332130,36347046,0.01025,0.06953,0.07706,0.0298,0.38481,0.0345,0.07651,0.05874,0.02592,0.33561,0.02508,0.2038,0.11847,0.47823,0.10585,0.02853,0.20978,0.01765,0.24745,0.01471,0.20941,3677.0
3690,2,41775791,41786813,0.00935,0.29074,0.10776,0.08558,0.20251,0.18346,0.34317,0.14186,0.1171,0.27091,0.21041,0.08494,0.10644,0.0163,0.03911,0.02111,0.06981,0.02191,0.08954,0.03037,0.02943,3690.0
3701,2,44464934,44470334,0.0546,0.11367,0.03627,0.12979,0.12218,0.03759,0.3226,0.01654,0.05128,0.34953,0.1682,0.27996,0.4725,0.03859,0.04689,0.0672,0.33343,0.1321,0.53067,0.2905,0.08564,3701.0
3724,2,51926367,51928014,0.00906,0.03368,0.0136,0.03823,0.16698,0.0516,0.05302,0.02273,0.06801,0.18562,0.08452,0.02914,0.02273,0.34876,0.02273,0.05518,0.24978,0.06103,0.35031,0.0,0.40492,3724.0
3727,2,52749525,52785835,0.01156,0.12982,0.03283,0.21396,0.01104,0.07825,0.18641,0.02724,0.21828,0.02269,0.05734,0.29676,0.63012,0.14702,0.37835,0.16732,0.05965,0.02383,0.32814,0.09523,0.0963,3727.0
3734,2,54564948,54567711,0.11628,0.02266,0.04805,0.06019,0.01042,0.13745,0.21259,0.02934,0.02557,0.11459,0.01266,0.12207,0.15722,0.03231,0.22984,0.02028,0.06182,0.03477,0.08458,0.02989,0.1235,3734.0
3739,2,56646720,56656287,0.02163,0.04994,0.05865,0.03377,0.04524,0.09592,0.11791,0.03296,0.01927,0.02684,0.04955,0.21171,0.15553,0.18173,0.28696,0.02626,0.02134,0.01611,0.02429,0.03285,0.02119,3739.0
3753,2,59622960,59642799,0.00904,0.01618,0.17355,0.01603,0.24933,0.12536,0.02396,0.17293,0.02621,0.25764,0.1101,0.25191,0.01471,0.34826,0.16976,0.22582,0.03264,0.01892,0.32338,0.13787,0.04498,3753.0
3805,2,79075242,79082527,0.0112,0.06926,0.01016,0.11351,0.01547,0.00889,0.11059,0.01996,0.11712,0.03343,0.01743,0.0783,0.3722,0.04716,0.06854,0.18193,0.02524,0.01374,0.23087,0.15676,0.01799,3805.0
3866,2,98221384,98247397,0.17518,0.18832,0.13166,0.33066,0.20176,0.22244,0.0124,0.01763,0.06932,0.02127,0.01427,0.01855,0.05711,0.01762,0.01203,0.10473,0.03576,0.02357,0.05278,0.04912,0.01522,3866.0
3871,2,100102240,100105225,0.00893,0.00856,0.01316,0.03509,0.21467,0.00979,0.01205,0.02034,0.04386,0.29236,0.01263,0.01894,0.04052,0.26643,0.01195,0.07727,0.27174,0.02324,0.46445,0.03217,0.28481,3871.0
3893,2,109305600,109329247,0.00995,0.05154,0.19022,0.23932,0.16332,0.26069,0.04297,0.20251,0.27065,0.18089,0.25544,0.10004,0.15773,0.08546,0.13651,0.03301,0.02107,0.01535,0.04369,0.01969,0.01909,3893.0
3912,2,111033345,111092986,0.01826,0.19455,0.01473,0.04685,0.02688,0.00838,0.28835,0.01557,0.03521,0.08105,0.02605,0.24264,0.36629,0.10502,0.21943,0.04345,0.07037,0.02167,0.18468,0.0777,0.03655,3912.0
3925,2,114258334,114259635,0.00885,0.00864,0.11032,0.10776,0.18943,0.09685,0.01219,0.13534,0.13579,0.24393,0.1042,0.13692,0.13649,0.24002,0.10939,0.01963,0.04193,0.01634,0.04168,0.01732,0.05088,3925.0
3926,2,114259635,114260950,0.01048,0.01006,0.10394,0.09939,0.17915,0.10078,0.01205,0.15315,0.1512,0.26444,0.1329,0.14557,0.14268,0.24797,0.13,0.01961,0.04047,0.01497,0.0422,0.01547,0.04442,3926.0
3927,2,114365939,114382208,0.01288,0.01202,0.0104,0.08712,0.0856,0.04854,0.03236,0.01675,0.08637,0.08683,0.03224,0.02269,0.23773,0.23486,0.11775,0.11967,0.12043,0.04738,0.02188,0.0408,0.04259,3927.0
3957,2,123467538,123482616,0.03866,0.02193,0.02652,0.09808,0.01152,0.12988,0.09795,0.01627,0.03713,0.03379,0.04484,0.07953,0.20587,0.04102,0.20894,0.05201,0.03064,0.05493,0.10505,0.01572,0.09659,3957.0
3961,2,125431042,125438357,0.00977,0.02376,0.00992,0.02028,0.19949,0.01047,0.02564,0.01586,0.02564,0.21975,0.01202,0.03704,0.0,0.28674,0.02174,0.03704,0.19514,0.01554,0.24633,0.02174,0.23478,3961.0
3978,2,129637989,129646629,0.0141,0.08002,0.07476,0.17033,0.01043,0.08368,0.15523,0.05692,0.15387,0.02103,0.05432,0.31382,0.49898,0.11942,0.27161,0.04872,0.08865,0.01373,0.20552,0.03786,0.07413,3978.0
4007,2,132221170,132224826,0.01178,0.37657,0.02346,0.01049,0.02206,0.00843,0.36529,0.02564,0.01743,0.02564,0.01407,0.3544,0.2972,0.32639,0.35491,0.04167,0.0,0.03001,0.04167,0.01437,0.02899,4007.0
4052,2,146855676,146880424,0.02596,0.16982,0.03554,0.01757,0.0149,0.06933,0.11152,0.11281,0.01729,0.06167,0.16984,0.33356,0.13197,0.25258,0.41975,0.09751,0.03125,0.01853,0.05471,0.13748,0.04518,4052.0
4064,2,153459609,153461616,0.00954,0.02391,0.04521,0.26457,0.04083,0.04024,0.03629,0.07023,0.25152,0.06521,0.03285,0.03161,0.38556,0.03053,0.09032,0.42524,0.0,0.11399,0.40261,0.13186,0.10348,4064.0
4065,2,153788580,153800523,0.08003,0.28437,0.03357,0.17887,0.01387,0.16822,0.14618,0.0278,0.07913,0.05889,0.03632,0.2446,0.04167,0.319,0.0658,0.15284,0.03048,0.08459,0.21938,0.02821,0.13787,4065.0
4078,2,159958685,159964278,0.04145,0.30952,0.14552,0.01055,0.01672,0.11559,0.16909,0.06008,0.03954,0.02506,0.03335,0.05148,0.27214,0.22949,0.08169,0.15169,0.11739,0.01837,0.02658,0.0947,0.06666,4078.0
4079,2,160097438,160104048,0.24273,0.33461,0.13711,0.33888,0.01351,0.22405,0.03129,0.03659,0.02701,0.16656,0.01179,0.08428,0.01556,0.22534,0.02867,0.08112,0.10941,0.03453,0.26591,0.02366,0.14597,4079.0
4092,2,164640622,164648142,0.03476,0.05388,0.07195,0.16931,0.06406,0.01184,0.01624,0.04761,0.33403,0.04509,0.02559,0.03162,0.38484,0.03054,0.04259,0.42674,0.0,0.07509,0.40408,0.23608,0.06878,4092.0
4097,2,167153019,167160206,0.01351,0.27886,0.01351,0.01351,0.01351,0.01351,0.23477,0.0,0.0,0.0,0.0,0.20205,0.19147,0.1837,0.2489,0.0,0.0,0.0,0.0,0.0,0.0,4097.0
4106,2,170320280,170340432,0.01083,0.08626,0.0739,0.04729,0.01538,0.01186,0.07028,0.12273,0.08352,0.03152,0.02271,0.28169,0.2229,0.12819,0.12116,0.02451,0.06746,0.05963,0.04286,0.03701,0.0151,4106.0
4113,2,172905430,172911323,0.00891,0.1551,0.12742,0.3148,0.1536,0.28644,0.16725,0.15888,0.41512,0.20367,0.31968,0.01442,0.09355,0.01713,0.04169,0.12794,0.02492,0.0515,0.10046,0.0336,0.03078,4113.0
4122,2,177265459,177272633,0.02816,0.14144,0.01388,0.01238,0.05505,0.01151,0.07556,0.06469,0.05639,0.17113,0.02093,0.16805,0.15289,0.24662,0.1214,0.02002,0.09019,0.03276,0.1029,0.028,0.12337,4122.0
4131,2,180058234,180083270,0.00903,0.01688,0.05695,0.13099,0.23202,0.14813,0.01832,0.07799,0.17728,0.32018,0.17312,0.12237,0.23847,0.38939,0.24151,0.05653,0.19998,0.0386,0.10713,0.01548,0.08658,4131.0
4234,2,214873863,214877498,0.01692,0.1195,0.01732,0.01022,0.04459,0.0195,0.07091,0.04812,0.02255,0.10011,0.05262,0.15862,0.10062,0.21229,0.18772,0.03025,0.05436,0.0138,0.08287,0.02677,0.03645,4234.0
4237,2,215724832,215736221,0.00896,0.14002,0.04747,0.03012,0.0262,0.01284,0.14882,0.05567,0.03746,0.03955,0.01506,0.04038,0.06529,0.26187,0.11758,0.0231,0.14226,0.03664,0.11553,0.02319,0.05739,4237.0
4246,2,220049900,220058248,0.01676,0.25052,0.07756,0.18913,0.05367,0.20104,0.1901,0.05141,0.15906,0.03609,0.14184,0.07252,0.01647,0.10004,0.01518,0.06237,0.02335,0.04476,0.09404,0.0147,0.06489,4246.0
4258,2,223865007,223867842,0.02433,0.0085,0.02059,0.13676,0.01088,0.05754,0.0312,0.01533,0.25658,0.02836,0.02551,0.02839,0.15183,0.01596,0.07193,0.24122,0.02987,0.03098,0.17389,0.34981,0.06681,4258.0
4276,2,227165267,227172020,0.01346,0.19513,0.0126,0.07538,0.01205,0.17601,0.18184,0.0153,0.06908,0.03021,0.15589,0.19332,0.04997,0.28693,0.01223,0.08163,0.03211,0.16355,0.15152,0.03665,0.24721,4276.0
4324,2,243160340,243189358,0.01551,0.02285,0.02868,0.01223,0.10357,0.00884,0.05841,0.02073,0.03325,0.10623,0.02503,0.08711,0.01879,0.22957,0.02268,0.05717,0.07232,0.04633,0.18106,0.01522,0.16729,4324.0
4331,20,1388463,1397042,0.01181,0.09035,0.01688,0.17682,0.18784,0.10481,0.13591,0.01659,0.22015,0.23965,0.09071,0.15639,0.47107,0.48077,0.34183,0.23529,0.26121,0.07329,0.03835,0.05974,0.07806,4331.0
4332,20,1552569,1592353,0.01377,0.08251,0.01517,0.06978,0.15367,0.00928,0.12444,0.01544,0.13085,0.25308,0.01442,0.09323,0.01893,0.39659,0.12188,0.10546,0.2353,0.01738,0.36568,0.11614,0.21487,4332.0
4364,20,15294609,15304146,0.01278,0.02277,0.01111,0.15393,0.01474,0.00864,0.01557,0.01583,0.2337,0.03499,0.01874,0.02113,0.28105,0.05217,0.0315,0.21649,0.03293,0.01669,0.13583,0.16564,0.01776,4364.0
4394,20,25978079,26041423,0.0098,0.20006,0.04481,0.04191,0.01286,0.02135,0.20357,0.04635,0.07041,0.02411,0.01895,0.09127,0.40578,0.27648,0.13872,0.18949,0.09355,0.02195,0.04649,0.10545,0.04159,4394.0
4398,20,31307552,31319391,0.02408,0.05401,0.05998,0.07228,0.1051,0.02588,0.13556,0.15424,0.04175,0.24055,0.08216,0.01578,0.25131,0.04622,0.0192,0.2969,0.04335,0.02915,0.42844,0.17543,0.07458,4398.0
4437,20,45778673,45789475,0.02564,0.0,0.20966,0.10657,0.0,0.12227,0.02564,0.13878,0.05407,0.02564,0.0681,0.18773,0.09807,0.0,0.10339,0.05158,0.15178,0.02808,0.08429,0.01805,0.07753,4437.0
4473,20,59566223,59590133,0.00994,0.02368,0.01446,0.02022,0.10619,0.01042,0.03953,0.01647,0.0357,0.09367,0.01821,0.06045,0.0,0.20086,0.02174,0.05502,0.07921,0.02802,0.17228,0.02174,0.14341,4473.0
4479,20,60514775,60537590,0.08046,0.0123,0.06781,0.0538,0.23714,0.21553,0.05799,0.01546,0.01849,0.06711,0.05194,0.05226,0.04182,0.21373,0.17,0.02077,0.08021,0.0563,0.10204,0.06929,0.01531,4479.0
4482,20,61372408,61374547,0.02048,0.09099,0.25417,0.02221,0.38716,0.34068,0.04336,0.16491,0.01589,0.28888,0.23271,0.05749,0.04031,0.14587,0.11936,0.15559,0.05197,0.02964,0.2768,0.19894,0.017,4482.0
4486,21,9412532,9591460,0.00898,0.04876,0.01437,0.01296,0.11701,0.02875,0.04404,0.02116,0.02007,0.12899,0.03362,0.08527,0.08339,0.2557,0.13654,0.01993,0.11133,0.0182,0.13311,0.02229,0.08528,4486.0
4489,21,9866600,9927289,0.0095,0.07229,0.0105,0.03713,0.05169,0.01255,0.0617,0.01516,0.0558,0.07688,0.01929,0.08079,0.19752,0.24084,0.10382,0.09122,0.14522,0.0223,0.02535,0.02524,0.03633,4489.0
4491,21,14373669,14412922,0.00951,0.14062,0.08568,0.05366,0.01883,0.22004,0.14761,0.09537,0.05945,0.02275,0.21162,0.01777,0.03335,0.14615,0.05832,0.02478,0.09221,0.06524,0.05137,0.08625,0.1805,4491.0
4494,21,16587798,16592122,0.00925,0.14245,0.0099,0.18112,0.03031,0.00872,0.18447,0.01567,0.2703,0.05096,0.01177,0.16996,0.0354,0.06606,0.17766,0.2845,0.04984,0.01414,0.15792,0.24854,0.04647,4494.0
4505,21,19323541,19330131,0.08398,0.14631,0.01035,0.06469,0.02531,0.00868,0.42734,0.08089,0.01626,0.18507,0.07876,0.1931,0.42638,0.09476,0.17032,0.07708,0.0476,0.01372,0.19149,0.06632,0.03636,4505.0
4510,21,20834949,20845680,0.01067,0.20002,0.02183,0.06607,0.03647,0.03181,0.21001,0.02273,0.09953,0.04508,0.0281,0.22684,0.05247,0.23929,0.28634,0.145,0.03704,0.01519,0.18266,0.17532,0.02174,4510.0
4519,21,23654416,23666937,0.06217,0.06229,0.45643,0.64545,0.01271,0.4102,0.19753,0.25157,0.45734,0.07879,0.20107,0.71952,0.91258,0.07669,0.57019,0.12577,0.52321,0.01636,0.76772,0.11334,0.37672,4519.0
4527,21,25257957,25264253,0.03161,0.28839,0.0276,0.02644,0.02562,0.03356,0.3235,0.0,0.0,0.0,0.0,0.28172,0.26788,0.25762,0.34109,0.0,0.0,0.0,0.0,0.0,0.0,4527.0
4574,21,43036858,43040601,0.01477,0.05896,0.0808,0.05217,0.15077,0.27005,0.11525,0.0563,0.03626,0.12214,0.20418,0.26314,0.21215,0.39584,0.46469,0.02261,0.03638,0.06913,0.05376,0.09322,0.02637,4574.0
4579,21,44284546,44288276,0.01692,0.01719,0.01615,0.22365,0.01578,0.01729,0.0,0.0,0.24828,0.0,0.0,0.0,0.25535,0.0,0.0,0.22462,0.0,0.0,0.21035,0.25786,0.0,4579.0
4599,22,16627795,16686295,0.04962,0.01324,0.03159,0.01536,0.02807,0.00914,0.04462,0.03704,0.14156,0.26627,0.08407,0.02737,0.03928,0.07306,0.02215,0.10138,0.19448,0.05569,0.02668,0.01699,0.02958,4599.0
4601,22,17769648,17781802,0.06088,0.28074,0.164,0.09337,0.22491,0.24921,0.15235,0.06956,0.02659,0.15001,0.11449,0.0401,0.10129,0.0287,0.01678,0.03943,0.07246,0.02056,0.12925,0.0636,0.03645,4601.0
4603,22,18056648,18062987,0.01644,0.01138,0.0221,0.02012,0.20731,0.05896,0.01357,0.06741,0.06644,0.37301,0.13134,0.04599,0.04379,0.30268,0.09841,0.01971,0.15715,0.02266,0.16991,0.02542,0.10852,4603.0
4610,22,18656197,18883339,0.01001,0.03494,0.06666,0.04759,0.18504,0.12957,0.02883,0.10792,0.07697,0.26349,0.16632,0.17915,0.13614,0.32544,0.25065,0.02107,0.17787,0.03157,0.14259,0.03591,0.05634,4610.0
4621,22,20610555,20718305,0.01345,0.02109,0.05528,0.05507,0.14988,0.10517,0.04723,0.0464,0.04818,0.1684,0.08205,0.14147,0.13851,0.28805,0.20228,0.01982,0.13769,0.02552,0.12001,0.0226,0.0458,4621.0
4625,22,21461146,21711132,0.01408,0.04,0.05701,0.04214,0.19505,0.14062,0.084,0.05077,0.03621,0.23563,0.12064,0.19846,0.1565,0.39105,0.29263,0.02096,0.18051,0.04539,0.17081,0.05131,0.04427,4625.0
4628,22,23026193,23236328,0.01091,0.04159,0.1079,0.02351,0.02616,0.06289,0.06429,0.1358,0.04706,0.05115,0.09027,0.24766,0.01769,0.01657,0.0135,0.28763,0.28465,0.29216,0.02201,0.0248,0.02173,4628.0
4631,22,23476481,23479924,0.01336,0.11242,0.01319,0.0717,0.05716,0.02182,0.10192,0.03144,0.07048,0.10332,0.04456,0.18201,0.01797,0.324,0.20163,0.13835,0.04924,0.01611,0.26489,0.14349,0.02926,4631.0
4648,22,32538948,32545061,0.01105,0.01922,0.17408,0.01793,0.02274,0.01862,0.03689,0.15556,0.01824,0.0454,0.01467,0.26979,0.05577,0.0162,0.05256,0.12205,0.26206,0.11612,0.0715,0.0143,0.05563,4648.0
4654,22,33780248,33783640,0.04828,0.07374,0.06381,0.0815,0.05339,0.09436,0.22607,0.20516,0.23635,0.18166,0.2626,0.01444,0.03099,0.01516,0.01533,0.03704,0.02087,0.01576,0.04545,0.02174,0.01909,4654.0
4660,22,37142972,37148838,0.05071,0.49207,0.01931,0.0283,0.02873,0.01558,0.30559,0.08543,0.09898,0.10437,0.08195,0.47159,0.47142,0.48161,0.50554,0.022,0.02275,0.0141,0.02186,0.01849,0.01869,4660.0
4668,22,39287918,39303878,0.04176,0.27922,0.02269,0.04314,0.23412,0.26703,0.18083,0.01827,0.01653,0.47317,0.16404,0.20301,0.15075,0.81109,0.01176,0.02558,0.41732,0.1855,0.50968,0.1341,0.78457,4668.0
4688,22,45134970,45139084,0.02241,0.16778,0.19774,0.0297,0.20231,0.09593,0.09313,0.12647,0.0796,0.13571,0.04376,0.01633,0.20476,0.0191,0.02402,0.28378,0.02072,0.03844,0.31099,0.14179,0.04335,4688.0
4692,22,45554360,45559418,0.04393,0.26163,0.0349,0.01956,0.01917,0.22533,0.12396,0.01585,0.06806,0.06592,0.09815,0.1272,0.22113,0.21232,0.01311,0.07402,0.07241,0.10223,0.0,0.19076,0.18286,4692.0
4712,22,50252755,50261847,0.01351,0.01351,0.01351,0.23469,0.01351,0.01351,0.0,0.0,0.2157,0.0,0.0,0.0,0.22192,0.0,0.0,0.19501,0.0,0.0,0.18263,0.22413,0.0,4712.0
4767,3,8325414,8327977,0.04496,0.10129,0.03344,0.14561,0.04474,0.01252,0.03167,0.01597,0.34209,0.01718,0.03015,0.04425,0.47095,0.02754,0.08027,0.32604,0.02389,0.02469,0.36231,0.21213,0.03667,4767.0
4788,3,15843411,15847007,0.05297,0.01719,0.04646,0.11482,0.06747,0.28069,0.10061,0.01522,0.03518,0.01922,0.1228,0.09769,0.18991,0.12873,0.34516,0.04169,0.0243,0.12193,0.02875,0.04854,0.08207,4788.0
4790,3,16238950,16242302,0.01062,0.02175,0.03183,0.11921,0.01214,0.00834,0.01786,0.03087,0.17698,0.01643,0.01343,0.01689,0.23279,0.01907,0.02473,0.28377,0.03331,0.03916,0.17389,0.14249,0.01651,4790.0
4806,3,22276973,22286595,0.11107,0.064,0.01042,0.31416,0.01199,0.02471,0.01952,0.08402,0.0999,0.07305,0.05064,0.0487,0.14607,0.04199,0.02352,0.26617,0.0208,0.02249,0.24453,0.22118,0.02016,4806.0
4815,3,26450470,26452466,0.04309,0.44685,0.07973,0.08547,0.01119,0.07799,0.31637,0.02481,0.03058,0.03711,0.01805,0.24417,0.193,0.43316,0.24041,0.02052,0.07864,0.01406,0.08598,0.01647,0.05846,4815.0
4830,3,32101863,32119604,0.0387,0.36853,0.01182,0.45583,0.0303,0.1433,0.23552,0.03107,0.36056,0.11892,0.05412,0.31025,0.03286,0.43676,0.095,0.48584,0.07645,0.10628,0.67897,0.17366,0.21254,4830.0
4862,3,46794887,46850588,0.02491,0.23715,0.01321,0.01097,0.01197,0.01367,0.33267,0.02416,0.03668,0.02812,0.02037,0.27218,0.24897,0.23915,0.32435,0.02246,0.02095,0.01378,0.02233,0.01813,0.0157,4862.0
4883,3,56607166,56624160,0.01781,0.01351,0.11016,0.01351,0.1776,0.24165,0.02564,0.06601,0.02564,0.1208,0.17024,0.10999,0.0,0.17329,0.21197,0.09376,0.03245,0.06351,0.14912,0.16376,0.02966,4883.0
4913,3,67492290,67497596,0.00886,0.04365,0.01072,0.15019,0.01043,0.02891,0.04809,0.01589,0.18019,0.01639,0.03266,0.05814,0.06439,0.04592,0.12082,0.21504,0.02113,0.0274,0.18639,0.30627,0.03372,4913.0
4914,3,67497596,67580138,0.0277,0.25288,0.02455,0.02364,0.02299,0.02924,0.28739,0.0,0.0,0.0,0.0,0.24894,0.23634,0.22702,0.30374,0.0,0.0,0.0,0.0,0.0,0.0,4914.0
4920,3,68629599,68640412,0.01885,0.01061,0.20877,0.02035,0.01261,0.27534,0.0329,0.2026,0.06012,0.03902,0.24871,0.25749,0.01826,0.01518,0.31595,0.37515,0.32629,0.01423,0.02503,0.41815,0.36395,4920.0
4921,3,68733803,68748314,0.10638,0.09157,0.13523,0.05405,0.01045,0.16924,0.31364,0.03767,0.29053,0.15611,0.03212,0.34255,0.01781,0.09131,0.39659,0.354,0.25958,0.01461,0.07814,0.38369,0.26908,4921.0
4923,3,69178833,69183075,0.08493,0.07195,0.11365,0.07122,0.01978,0.24096,0.01231,0.01808,0.01639,0.04165,0.07634,0.01877,0.01476,0.03423,0.08362,0.02523,0.06484,0.05076,0.04264,0.07622,0.13066,4923.0
4950,3,80061700,80064702,0.03317,0.1566,0.01035,0.02614,0.06152,0.01989,0.29005,0.06153,0.1241,0.0609,0.08416,0.13753,0.07351,0.30586,0.09022,0.03405,0.13069,0.02052,0.19429,0.01509,0.12136,4950.0
4957,3,82868739,82873652,0.02022,0.02242,0.0115,0.02609,0.39951,0.00834,0.06127,0.04101,0.07605,0.52393,0.02339,0.01917,0.01508,0.31714,0.02525,0.02817,0.39014,0.0157,0.3048,0.03201,0.41663,4957.0
4995,3,98399814,98414889,0.0216,0.24064,0.0255,0.02383,0.01711,0.02672,0.16506,0.01552,0.01607,0.01697,0.01204,0.15369,0.15357,0.18412,0.16535,0.01963,0.02252,0.01371,0.0234,0.01429,0.01639,4995.0
4997,3,98937325,98951057,0.10465,0.14557,0.08698,0.17031,0.16178,0.23838,0.01709,0.0153,0.06724,0.06513,0.08346,0.02129,0.04828,0.04691,0.05918,0.09375,0.09133,0.11108,0.0,0.0,0.0,4997.0
5033,3,110158791,110182347,0.01771,0.01804,0.01677,0.21799,0.01631,0.01817,0.0,0.0,0.24647,0.0,0.0,0.0,0.25349,0.0,0.0,0.22296,0.0,0.0,0.20879,0.25598,0.0,5033.0
